# agreed to re-licensing
# GitHub username, evidence

jlhg, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-1713740627
hmenager, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-1713742259
cumbof, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-1713748840
shiltemann, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-1713749762
jjkoehorst, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-1713750442
eteriSokhoyan, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-1713753043
johnbradley, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-1713788099
saketkc, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-1713788190
glormph, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-1713790717
CarlosBorroto, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-1713792053
bagnacan, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-1713808274
abrenner, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-1713815484
jaidevjoshi83, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-1713822591
KeizoUehara, https://github.com/galaxyproject/galaxy/pull/13074
khaled196, https://github.com/galaxyproject/galaxy/pull/16503
kjetilkl, https://github.com/galaxyproject/galaxy/pull/12269
knutwa-ext, https://github.com/galaxyproject/galaxy/pull/12099
athos-ribeiro, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-1713887074
JeffreyThiessen, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-1713887074
JenCabral, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-1713887074
jvolkening, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-1714023869
Hillrunner2008, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-1714034873
iracooke, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-1714048235
stevenweaver, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-1714048235
JeanFred, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-1714452121
BioinformaticsPlatformWIV-ISP, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-1714544959
hrhotz, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-1714544959
Realjuan, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-1714736375
IslamHeggy, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-1715298011
hackdna, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-1715473671
ghuls, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-1717354534
cche, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-1717367540
janani-prasad, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-1718490381
fangly, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-1724203742
carlfeberhard, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-1726049269
fescudie, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-1726295851
IyadKandalaft, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-1754307673
JanKanis, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-1770191691
ElectronicBlueberry, https://github.com/galaxyproject/galaxy/pull/14892
Lain-inrae, https://github.com/galaxyproject/galaxy/pull/15265
abueg, https://github.com/galaxyproject/galaxy/pull/15096
lldelisle, https://github.com/galaxyproject/galaxy/pull/13411
luke-c-sargent, https://github.com/galaxyproject/galaxy/pull/12902
mahendrapaipuri, https://github.com/galaxyproject/galaxy/pull/16119
maikenp, https://github.com/galaxyproject/galaxy/pull/12097
Nerdinacan, https://github.com/galaxyproject/galaxy/pull/12351
xtrojak, https://github.com/galaxyproject/galaxy/pull/14766
maximskorik, https://github.com/galaxyproject/galaxy/pull/12077
mtekman, https://github.com/galaxyproject/galaxy/pull/12336
melibleq, https://github.com/galaxyproject/galaxy/pull/12384
mr-c, https://github.com/galaxyproject/galaxy/pull/16963
mschatz, https://github.com/galaxyproject/galaxy/pull/15123
hujambo-dunia, https://github.com/galaxyproject/galaxy/pull/18074
minh-biocommons, https://github.com/galaxyproject/galaxy/pull/15998
mira-miracoli, https://github.com/galaxyproject/galaxy/pull/17510
tnabtaf, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-1819222603
fubar2, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-1812328933
matthdsm, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2145433909
lparsons, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2145435807
xiemaisi, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2145442153
loraine-gueguen, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2145443698
kaukrise, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2145456687
tizzir, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2145457606
mdshw5, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2145510830
telukir, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2145520159
mariabernard, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2145533151
einonm, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2145602162
mbargull, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2145707579
ilveroluca, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2145746457
kaktus42, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2145754145
khillion, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2145762267
eslerm, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2145802437
thermokarst, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2145930733
kellrott, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2146085259
kanwei, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2146114511
maxf130, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2146179536
mmiladi, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2146473191
machristie, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2146776249
MiguelJulia, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2147150944
nsoranzo, https://github.com/galaxyproject/galaxy/pull/18423
innovate-invent, https://github.com/galaxyproject/galaxy/pull/13608
nuwang, https://github.com/galaxyproject/galaxy/pull/17748
OlegZharkov, https://github.com/galaxyproject/galaxy/pull/12937
mblue9, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2147309479
Mataivic, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2147324370
Delphine-L, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2147329464
nekrut, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2147347824
mtangaro, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2147366950
pcm32, https://github.com/galaxyproject/galaxy/pull/15238
pvanheus, https://github.com/galaxyproject/galaxy/pull/14389
qiagu, https://github.com/galaxyproject/galaxy/pull/14992
rhpvorderman, https://github.com/galaxyproject/galaxy/pull/13179
richard-burhans, https://github.com/galaxyproject/galaxy/pull/17565
shenweiyan, https://github.com/galaxyproject/galaxy/pull/13323
heisner-tillman, https://github.com/galaxyproject/galaxy/pull/17463
ieguinoa, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2147638955
wm75, https://github.com/galaxyproject/galaxy/pull/17586
yvanlebras, https://github.com/galaxyproject/galaxy/pull/16713
semenko, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2147813980
lecorguille, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2147838932
julozi, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2147839291
tom-tan, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2147839291
ValentinMarcon, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2147848988
theosotr, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2147854653
Takadonet, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2147861691
