#	cleg	index	conj_class
1	1:2a,a+b,a+c>1	2	a
2	1:2a,a+b,c>1	2	b
3	1:2a,b,a+c>1	2	c
4	1:a,2b,b+c>1	2	d
5	1:a,b,2c>1	2	e
6	1:a,2b,c>1	2	f
7	1:2a,b,c>1	2	g
8	1:3a,2a+b,c>1	3	a
9	1:3a,a+b,c>1	3	b
10	1:3a,b,c>1	3	c
11	1:a,b,3c>1	3	d
12	1:a,3b,2b+c>1	3	e
13	1:a,3b,b+c>1	3	f
14	1:a,3b,c>1	3	g
15	1:3a,2a+b,2a+c>1	3	h
16	1:3a,a+b,2a+c>1	3	i
17	1:3a,2a+b,a+c>1	3	j
18	1:3a,a+b,a+c>1	3	k
19	1:3a,b,2a+c>1	3	l
20	1:3a,b,a+c>1	3	m
21	2:a,b,c>1	2	a
22	2:2a,b,a+c;1/2,0,0>2	2	a
23	2:2a,b,a+c>2	2	b
24	2:a,2b,b+c;0,1/2,0>2	2	c
25	2:a,2b,b+c>2	2	d
26	2:a,b,2c;0,0,1/2>2	2	e
27	2:a,b,2c>2	2	f
28	2:a,2b,c;0,1/2,0>2	2	g
29	2:a,2b,c>2	2	h
30	2:2a,a+b,a+c;1/2,0,0>2	2	i
31	2:2a,a+b,a+c>2	2	j
32	2:2a,a+b,c;1/2,0,0>2	2	k
33	2:2a,a+b,c>2	2	l
34	2:2a,b,c;1/2,0,0>2	2	m
35	2:2a,b,c>2	2	n
36	2:a,b,3c>2	3	a
37	2:a,b,3c;0,0,1>2	3	a
38	2:a,b,3c;0,0,2>2	3	a
39	2:a,3b,2b+c>2	3	b
40	2:a,3b,2b+c;0,1,0>2	3	b
41	2:a,3b,2b+c;0,2,0>2	3	b
42	2:a,3b,b+c>2	3	c
43	2:a,3b,b+c;0,1,0>2	3	c
44	2:a,3b,b+c;0,2,0>2	3	c
45	2:a,3b,c>2	3	d
46	2:a,3b,c;0,1,0>2	3	d
47	2:a,3b,c;0,2,0>2	3	d
48	2:3a,2a+b,2a+c>2	3	e
49	2:3a,2a+b,2a+c;1,0,0>2	3	e
50	2:3a,2a+b,2a+c;2,0,0>2	3	e
51	2:3a,a+b,2a+c>2	3	f
52	2:3a,a+b,2a+c;1,0,0>2	3	f
53	2:3a,a+b,2a+c;2,0,0>2	3	f
54	2:3a,2a+b,a+c>2	3	g
55	2:3a,2a+b,a+c;1,0,0>2	3	g
56	2:3a,2a+b,a+c;2,0,0>2	3	g
57	2:3a,a+b,a+c>2	3	h
58	2:3a,a+b,a+c;1,0,0>2	3	h
59	2:3a,a+b,a+c;2,0,0>2	3	h
60	2:3a,b,2a+c>2	3	i
61	2:3a,b,2a+c;1,0,0>2	3	i
62	2:3a,b,2a+c;2,0,0>2	3	i
63	2:3a,b,a+c>2	3	j
64	2:3a,b,a+c;1,0,0>2	3	j
65	2:3a,b,a+c;2,0,0>2	3	j
66	2:3a,2a+b,c>2	3	k
67	2:3a,2a+b,c;1,0,0>2	3	k
68	2:3a,2a+b,c;2,0,0>2	3	k
69	2:3a,a+b,c>2	3	l
70	2:3a,a+b,c;1,0,0>2	3	l
71	2:3a,a+b,c;2,0,0>2	3	l
72	2:3a,b,c>2	3	m
73	2:3a,b,c;1,0,0>2	3	m
74	2:3a,b,c;2,0,0>2	3	m
75	3:a,b,c>1	2	a
76	3:a-c,b,2c;0,0,1/2>3	2	a
77	3:a-c,b,2c>3	2	b
78	3:2a,b,c;1/2,0,0>3	2	c
79	3:2a,b,c>3	2	d
80	3:a,b,2c;0,0,1/2>3	2	e
81	3:a,b,2c>3	2	f
82	3:a,2b,c>3	2	g
83	3:3a,b,c>3	3	a
84	3:3a,b,c;1,0,0>3	3	a
85	3:3a,b,c;2,0,0>3	3	a
86	3:a-2c,b,3c>3	3	b
87	3:a-2c,b,3c;0,0,1>3	3	b
88	3:a-2c,b,3c;0,0,2>3	3	b
89	3:a-c,b,3c>3	3	c
90	3:a-c,b,3c;0,0,1>3	3	c
91	3:a-c,b,3c;0,0,2>3	3	c
92	3:a,b,3c>3	3	d
93	3:a,b,3c;0,0,1>3	3	d
94	3:a,b,3c;0,0,2>3	3	d
95	3:a,3b,c>3	3	e
96	3:a,2b,c>4	2	a
97	3:2a,2b,-a+c;1/2,0,0>5	2	a
98	3:2a,2b,-a+c>5	2	b
99	3:2c,2b,-a-2c;0,0,1/2>5	2	c
100	3:2c,2b,-a-2c>5	2	d
101	3:2a,2b,c;1/2,0,0>5	2	e
102	3:2a,2b,c>5	2	f
103	4:a,b,c>1	2	a
104	4:a-c,b,2c;0,0,1/2>4	2	a
105	4:a-c,b,2c>4	2	b
106	4:2a,b,c;1/2,0,0>4	2	c
107	4:2a,b,c>4	2	d
108	4:a,b,2c;0,0,1/2>4	2	e
109	4:a,b,2c>4	2	f
110	4:3a,b,c>4	3	a
111	4:3a,b,c;1,0,0>4	3	a
112	4:3a,b,c;2,0,0>4	3	a
113	4:a-2c,b,3c>4	3	b
114	4:a-2c,b,3c;0,0,1>4	3	b
115	4:a-2c,b,3c;0,0,2>4	3	b
116	4:a-c,b,3c>4	3	c
117	4:a-c,b,3c;0,0,1>4	3	c
118	4:a-c,b,3c;0,0,2>4	3	c
119	4:a,b,3c>4	3	d
120	4:a,b,3c;0,0,1>4	3	d
121	4:a,b,3c;0,0,2>4	3	d
122	4:a,3b,c>4	3	e
123	5:1/2a-1/2b,1/2a+1/2b,c>1	2	a
124	5:a,b,c>3	2	a
125	5:a,b,c;1/4,0,0>4	2	a
126	5:a-2c,b,2c;0,0,1/2>5	2	a
