41 54 26 54 46 4F 52 4D ?? ?? ?? ?? 44 4A 56	0	djvu djv
30 82	0	der
44 49 43 4D	0x80	dcm
77 4F 46 46	0	woff
77 4F 46 32	0	woff2
00 61 73 6d	0	wasm
cf 84 01	0	lep
43 57 53	0	swf
46 57 53	0	swf
21 3C 61 72 63 68 3E	0	deb
52 49 46 46 ?? ?? ?? ?? 57 45 42 50	0	webp
27 05 19 56	0	
7B 5C 72 74 66 31	0	rtf
54 41 50 45	0	
00 00 01 BA	0	m2p vob
00 00 01 BA	0	mpg mpeg 
00 00 01 B3	0	mpg mpeg
78 01	0	zlib
78 5E	0	zlib
78 9C	0	zlib
78 DA	0	zlib
78 20	0	zlib
78 7D	0	zlib
78 BB	0	zlib
78 F9	0	zlib
62 76 78 32	0	lzfse
4F 52 43	0	orc
4F 62 6A 01	0	avro
53 45 51 36	0	rc
65 87 78 56	0	 p25  obt 
55 55 aa aa	0	pcv
78 56 34	0	 pbt  pdt  pea  peb  pet  pgt  pict  pjt  pkt  pmt 
50 41 52 31	0	
45 4D 58 32	0	ez2
45 4D 55 33	0	ez3 iso 
1B 4C 75 61	0	luac
62 6F 6F 6B 00 00 00 00 6D 61 72 6B 00 00 00 00	alias	macOS file Alias ( Symbolic link )
5B 5A 6F 6E 65 54 72 61 6E 73 66 65 72 5D	0	Identifier
52 65 63 65 69 76 65 64	0	eml
20 02 01 62 A0 1E AB 07 02 00 00 00	0	tde
37 48 03 02 00 00 00 00 58 35 30 39 4B 45 59	0	kdb
85 ?? ?? 03	0	pgp
28 B5 2F FD	0	zst
3A 29 0A	0	sml
4A 6F 79 21		 Preferred Executable Format 
31 0A 30 30	srt	 SubRip File
00 00 00 0C 6A 50 20 20 0D 0A 87 0A	jp2	JPEG 2000
54 00 00 00 56 45 4c 44	vel	Derived from test_charmm.vel
54 00 00 00 43 4f 52 44	dcd	Derived from test_glucose_vacuum.dcd
00 00 07 CB	xtc	https://manual.gromacs.org/documentation/5.1/user-guide/file-formats.html#xtc
00 00 07 C9	trr	https://manual.gromacs.org/documentation/5.1/user-guide/file-formats.html#trr
00 00 00 20 66 74 79 70	mp4	Video file (MP4)
89 48 44 46	mz5 loom	HDF files
ff ff fd	edr	https://manual.gromacs.org/documentation/5.1/user-guide/file-formats.html#edr
