LIST IDENTIFIER	URI	TYPE
SAMD00016379	https://zenodo.org/records/3263975/files/DRR000770.fastqsanger.gz	fastqsanger.gz
SAMD00016383	https://zenodo.org/records/3263975/files/DRR000771.fastqsanger.gz	fastqsanger.gz
SAMD00016380	https://zenodo.org/records/3263975/files/DRR000772.fastqsanger.gz	fastqsanger.gz
SAMD00016378	https://zenodo.org/records/3263975/files/DRR000773.fastqsanger.gz	fastqsanger.gz
